年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,主観データ実数,主観データ偏差値,客観データ偏差値
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,医療・福祉,3.4,51.2,48.0
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,買物・飲食,3.4,48.9,48.7
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,住宅環境,3.5,53.5,54.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,移動・交通,2.7,43.0,49.9
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,遊び・娯楽,2.5,44.0,49.1
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,子育て,2.9,39.7,43.3
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,初等・中等教育,3.4,45.2,47.1
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,地域行政,2.9,41.4,42.3
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,デジタル生活,2.8,37.1,53.2
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,公共空間,3.4,46.2,47.0
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,都市景観,2.9,46.4,46.1
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,事故・犯罪,3.0,43.4,45.6
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,自然景観,3.2,51.8,67.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,自然の恵み,3.3,49.4,51.0
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,環境共生,2.9,35.6,44.6
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,生活環境,自然災害,3.0,38.8,51.3
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,地域の人間関係,地域とのつながり,2.9,44.7,54.6
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,地域の人間関係,多様性と寛容性,2.6,42.0,49.0
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,自分らしい生き方,自己効力感,3.0,48.8,43.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,自分らしい生き方,健康状態,3.2,46.0,45.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,自分らしい生き方,文化・芸術,3.0,40.9,58.9
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,自分らしい生き方,教育機会の豊かさ,2.8,38.4,47.7
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,自分らしい生き方,雇用・所得,2.5,38.5,48.9
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",カテゴリー別,自分らしい生き方,事業創造,2.5,36.2,48.1
