年度,調査種別,地域,データ種別,設問,回答,回答割合
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,10,6.1
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,9,8.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,8,20.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,7,22.2
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,6,11.9
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,5,15.5
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,4,3.0
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,3,4.9
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,2,2.6
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,1,2.1
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,幸福度,0,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,10,7.5
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,9,8.7
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,8,20.6
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,7,24.1
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,6,13.6
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,5,16.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,4,2.1
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,3,3.0
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,2,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,1,0.9
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,生活満足度,0,1.2
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,10,6.3
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,9,7.7
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,8,16.2
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,7,19.0
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,6,13.3
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,5,19.7
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,4,4.2
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,3,4.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,2,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,1,2.1
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,5年後の幸福度,0,4.2
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,10,2.7
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,9,4.5
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,8,16.8
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,7,29.7
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,6,15.0
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,5,23.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,4,4.2
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,3,1.5
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,2,0.9
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,1,0.6
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,町内の幸福度,0,0.6
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,周りも楽しい,5,2.1
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,周りも楽しい,4,29.3
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,周りも楽しい,3,53.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,周りも楽しい,2,12.4
2026年度版(令和8年度版),全国調査,"和歌山県 和歌山市",幸福度・生活満足度,周りも楽しい,1,2.8
