年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,主観データ実数,主観データ偏差値,客観データ偏差値
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,医療・福祉,3.2,46.0,47.4
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,買物・飲食,3.6,58.9,44.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,住宅環境,3.4,49.7,56.1
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,移動・交通,2.4,36.8,45.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,遊び・娯楽,2.5,43.2,55.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,子育て,2.9,38.9,45.6
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,初等・中等教育,3.2,37.8,44.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,地域行政,2.8,39.0,55.4
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,デジタル生活,2.8,40.9,37.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,公共空間,3.2,37.3,37.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,都市景観,2.9,45.7,35.7
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,事故・犯罪,3.0,43.0,51.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,自然景観,3.0,44.9,45.7
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,自然の恵み,3.5,54.7,54.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,環境共生,3.0,44.0,48.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,生活環境,自然災害,3.0,41.6,47.4
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,地域の人間関係,地域とのつながり,3.0,46.2,46.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,地域の人間関係,多様性と寛容性,2.7,51.9,44.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,自分らしい生き方,自己効力感,3.0,44.0,48.3
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,自分らしい生き方,健康状態,3.2,44.8,53.7
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,自分らしい生き方,文化・芸術,3.0,40.9,54.1
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,自分らしい生き方,教育機会の豊かさ,2.8,41.4,44.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,自分らしい生き方,雇用・所得,2.6,42.0,48.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",カテゴリー別,自分らしい生き方,事業創造,2.6,43.6,48.2
