年度,調査種別,地域,データ種別,設問,回答,回答割合
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,10,5.7
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,9,9.5
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,8,19.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,7,21.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,6,12.4
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,5,15.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,4,3.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,3,3.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,2,4.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,1,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,幸福度,0,3.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,10,7.6
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,9,1.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,8,18.1
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,7,21.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,6,9.5
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,5,29.5
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,4,3.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,3,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,2,2.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,1,2.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,生活満足度,0,1.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,10,7.6
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,9,9.5
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,8,17.1
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,7,21.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,6,11.4
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,5,16.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,4,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,3,4.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,2,4.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,1,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,5年後の幸福度,0,3.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,10,1.3
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,9,3.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,8,19.5
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,7,20.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,6,11.7
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,5,33.8
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,4,2.6
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,3,5.2
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,2,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,1,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,町内の幸福度,0,1.3
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,周りも楽しい,5,1.0
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,周りも楽しい,4,25.7
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,周りも楽しい,3,61.9
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,周りも楽しい,2,8.6
2026年度版(令和8年度版),全国調査,"和歌山県 岩出市",幸福度・生活満足度,周りも楽しい,1,2.9
