年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,主観データ実数,主観データ偏差値,客観データ偏差値
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,医療・福祉,3.0,31.4,50.8
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,買物・飲食,3.1,35.9,45.9
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,住宅環境,3.6,59.3,61.0
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,移動・交通,2.6,39.8,48.3
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,遊び・娯楽,2.3,34.6,44.8
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,子育て,3.0,42.3,41.7
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,初等・中等教育,2.9,23.3,45.4
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,地域行政,2.8,40.4,41.1
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,デジタル生活,2.9,44.9,45.1
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,公共空間,3.3,44.0,41.3
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,都市景観,2.8,42.5,35.7
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,事故・犯罪,3.0,44.8,51.8
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,自然景観,3.4,59.3,52.9
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,自然の恵み,3.8,63.7,57.8
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,環境共生,3.0,47.8,50.9
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,生活環境,自然災害,3.1,51.3,44.2
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,地域の人間関係,地域とのつながり,3.0,51.1,53.1
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,地域の人間関係,多様性と寛容性,2.6,47.0,52.6
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,自分らしい生き方,自己効力感,3.0,42.3,54.6
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,自分らしい生き方,健康状態,3.1,43.0,55.8
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,自分らしい生き方,文化・芸術,3.1,48.9,49.2
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,自分らしい生き方,教育機会の豊かさ,2.8,40.2,48.8
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,自分らしい生き方,雇用・所得,2.3,30.6,47.3
2026年度版(令和8年度版),全国調査,"和歌山県 橋本市",カテゴリー別,自分らしい生き方,事業創造,2.5,35.4,50.6
