年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,主観データ実数,主観データ偏差値,客観データ偏差値
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,医療・福祉,3.0,35.0,50.5
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,買物・飲食,2.7,22.0,44.1
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,住宅環境,3.5,53.1,62.0
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,移動・交通,2.3,34.6,41.3
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,遊び・娯楽,2.2,33.4,47.4
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,子育て,2.9,39.9,39.5
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,初等・中等教育,3.1,30.3,44.0
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,地域行政,2.9,41.9,46.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,デジタル生活,2.7,36.3,43.1
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,公共空間,3.2,34.0,33.2
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,都市景観,2.7,37.3,35.7
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,事故・犯罪,2.8,34.6,48.3
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,自然景観,3.0,42.7,52.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,自然の恵み,3.5,54.3,52.4
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,環境共生,2.9,35.0,46.3
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,生活環境,自然災害,3.0,44.5,48.7
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,地域の人間関係,地域とのつながり,3.1,57.3,55.6
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,地域の人間関係,多様性と寛容性,2.6,44.9,48.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,自分らしい生き方,自己効力感,3.1,57.9,47.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,自分らしい生き方,健康状態,3.3,60.9,52.2
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,自分らしい生き方,文化・芸術,3.0,41.2,59.2
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,自分らしい生き方,教育機会の豊かさ,2.7,30.9,54.0
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,自分らしい生き方,雇用・所得,2.3,30.0,45.3
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",カテゴリー別,自分らしい生き方,事業創造,2.4,31.9,42.3
