年度,調査種別,地域,データ種別,設問,回答,回答割合
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,10,10.3
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,9,9.3
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,8,20.6
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,7,15.0
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,6,11.2
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,5,16.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,4,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,3,7.5
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,2,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,1,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,幸福度,0,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,10,4.7
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,9,6.5
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,8,14.0
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,7,17.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,6,17.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,5,19.6
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,4,5.6
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,3,6.5
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,2,4.7
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,1,0.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,生活満足度,0,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,10,10.3
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,9,8.4
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,8,19.6
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,7,14.0
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,6,11.2
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,5,17.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,4,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,3,11.2
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,2,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,1,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,5年後の幸福度,0,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,10,1.2
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,9,1.2
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,8,21.0
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,7,14.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,6,19.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,5,30.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,4,2.5
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,3,4.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,2,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,1,1.2
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,町内の幸福度,0,2.5
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,周りも楽しい,5,0.9
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,周りも楽しい,4,31.8
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,周りも楽しい,3,56.1
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,周りも楽しい,2,10.3
2026年度版(令和8年度版),全国調査,"和歌山県 海南市",幸福度・生活満足度,周りも楽しい,1,0.9
