年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,主観データ実数,主観データ偏差値,客観データ偏差値
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,医療・福祉,3.0,35.4,53.9
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,買物・飲食,3.1,39.2,47.3
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,住宅環境,3.4,45.8,58.4
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,移動・交通,2.1,31.0,42.2
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,遊び・娯楽,2.3,35.0,59.1
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,子育て,2.9,37.9,42.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,初等・中等教育,3.1,33.3,44.3
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,地域行政,2.7,35.4,47.1
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,デジタル生活,2.7,35.0,51.1
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,公共空間,3.3,40.9,34.1
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,都市景観,2.8,43.3,56.5
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,事故・犯罪,3.0,43.9,47.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,自然景観,3.5,62.2,74.6
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,自然の恵み,3.8,64.5,67.3
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,環境共生,3.0,49.3,56.3
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,生活環境,自然災害,3.0,44.5,45.2
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,地域の人間関係,地域とのつながり,3.0,49.4,51.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,地域の人間関係,多様性と寛容性,2.6,42.1,43.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,自分らしい生き方,自己効力感,2.8,29.3,55.2
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,自分らしい生き方,健康状態,3.2,45.4,47.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,自分らしい生き方,文化・芸術,3.0,42.4,49.1
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,自分らしい生き方,教育機会の豊かさ,2.8,40.4,46.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,自分らしい生き方,雇用・所得,2.4,34.8,47.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",カテゴリー別,自分らしい生き方,事業創造,2.5,36.4,46.7
