年度,調査種別,地域,データ種別,設問,回答,回答割合
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,10,8.4
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,9,3.7
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,8,17.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,7,14.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,6,19.6
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,5,16.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,4,7.5
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,3,6.5
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,2,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,1,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,幸福度,0,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,10,4.7
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,9,4.7
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,8,18.7
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,7,15.9
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,6,14.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,5,21.5
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,4,7.5
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,3,10.3
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,2,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,1,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,生活満足度,0,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,10,7.5
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,9,4.7
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,8,16.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,7,15.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,6,10.3
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,5,25.2
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,4,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,3,11.2
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,2,0.9
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,1,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,5年後の幸福度,0,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,10,3.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,9,2.5
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,8,15.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,7,15.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,6,16.3
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,5,33.8
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,4,7.5
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,3,6.3
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,2,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,1,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,町内の幸福度,0,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,周りも楽しい,5,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,周りも楽しい,4,27.1
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,周りも楽しい,3,57.0
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,周りも楽しい,2,13.1
2026年度版(令和8年度版),全国調査,"和歌山県 田辺市",幸福度・生活満足度,周りも楽しい,1,0.9
