年度,調査種別,地域,データ種別,設問,回答,回答割合
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,10,11.3
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,9,11.3
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,8,22.6
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,7,17.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,6,17.0
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,5,9.4
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,4,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,3,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,2,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,1,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,幸福度,0,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,10,8.5
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,9,4.7
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,8,24.5
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,7,24.5
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,6,12.3
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,5,14.2
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,4,5.7
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,3,2.8
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,2,0.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,1,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,生活満足度,0,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,10,15.1
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,9,9.4
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,8,16.0
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,7,16.0
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,6,17.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,5,11.3
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,4,4.7
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,3,3.8
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,2,0.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,1,0.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,5年後の幸福度,0,3.8
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,10,3.7
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,9,4.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,8,14.8
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,7,33.3
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,6,21.0
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,5,16.0
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,4,1.2
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,3,2.5
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,2,1.2
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,1,0.0
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,町内の幸福度,0,1.2
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,周りも楽しい,5,1.9
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,周りも楽しい,4,34.0
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,周りも楽しい,3,56.6
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,周りも楽しい,2,5.7
2026年度版(令和8年度版),全国調査,"和歌山県 紀の川市",幸福度・生活満足度,周りも楽しい,1,1.9
